"Name", Height (Inches), Height(Feet-Inches), Weight
"Zaid Abdul-Aziz", 81, 6-9, 235
"Kareem Abdul-Jabbar", 86, 7-2, 225
"Mahdi Abdul-Rahman", 74, 6-2, 185
"Don Adams", 78, 6-6, 210
"Rick Adelman", 73, 6-1, 175
"Lucius Allen", 74, 6-2, 175
"Tiny Archibald", 73, 6-1, 150
"Dennis Awtrey", 82, 6-10, 235
"Dick Barnett", 76, 6-4, 190
"Jim Barnett", 76, 6-4, 170
"Rick Barry", 79, 6-7, 205
"Butch Beard", 75, 6-3, 185
"Walt Bellamy", 83, 6-11, 225
"Henry Bibby", 73, 6-1, 185
"Dave Bing", 75, 6-3, 180
"John Block", 81, 6-9, 207
"Tom Boerwinkle", 84, 7-0, 265
"Freddie Boyd", 74, 6-2, 180
"Steve Bracey", 73, 6-1, 175
"Bill Bradley", 77, 6-5, 205
"Bill Bridges", 78, 6-6, 228
"John Brisker", 77, 6-5, 210
"Fred Brown", 75, 6-3, 182
"Roger Brown", 83, 6-11, 225
"Corky Calhoun", 79, 6-7, 210
"Austin Carr", 76, 6-4, 200
"Fred Carter", 75, 6-3, 185
"Wilt Chamberlain", 85, 7-1, 275
"Don Chaney", 77, 6-5, 210
"Phil Chenier", 75, 6-3, 180
"Bob Christian", 82, 6-10, 255
"Archie Clark", 74, 6-2, 175
"Jim Cleamons", 75, 6-3, 185
"Barry Clemens", 78, 6-6, 210
"Mel Counts", 84, 7-0, 230
"Dave Cowens", 81, 6-9, 230
"Pete Cross", 81, 6-9, 230
"Dick Cunningham", 82, 6-10, 245
"Bob Dandridge", 78, 6-6, 195
"Bob Davis", 79, 6-7, 215
"Charlie Davis", 74, 6-2, 160
"Dwight Davis", 80, 6-8, 220
"Jim Davis", 81, 6-9, 225
"Mickey Davis", 79, 6-7, 195
"Mike Davis", 75, 6-3, 185
"Dave DeBusschere", 78, 6-6, 220
"Terry Dischinger", 79, 6-7, 189
"Terry Driscoll", 79, 6-7, 215
"Charles Dudley", 74, 6-2, 180
"Ken Durrett", 79, 6-7, 190
"Joe Ellis", 78, 6-6, 175
"Leroy Ellis", 82, 6-10, 210
"Scott English", 78, 6-6, 205
"Keith Erickson", 77, 6-5, 195
"Hank Finkel", 84, 7-0, 240
"Chris Ford", 77, 6-5, 190
"Fred Foster", 77, 6-5, 210
"Harold Fox", 74, 6-2, 175
"Jim Fox", 82, 6-10, 230
"Walt Frazier", 76, 6-4, 200
"Dick Garrett", 75, 6-3, 185
"Rowland Garrett", 78, 6-6, 210
"John Gianelli", 82, 6-10, 220
"Dick Gibbs", 77, 6-5, 210
"Herm Gilliam", 75, 6-3, 190
"Gail Goodrich", 73, 6-1, 170
"Travis Grant", 79, 6-7, 215
"Johnny Green", 77, 6-5, 200
"Lamar Green", 79, 6-7, 210
"Luther Green", 79, 6-7, 190
"Hal Greer", 74, 6-2, 175
"Gary Gregor", 79, 6-7, 225
"Matt Guokas", 77, 6-5, 175
"Happy Hairston", 79, 6-7, 225
"Jeff Halliburton", 77, 6-5, 193
"Clem Haskins", 75, 6-3, 195
"John Havlicek", 77, 6-5, 203
"Connie Hawkins", 80, 6-8, 210
"Elvin Hayes", 81, 6-9, 235
"Spencer Haywood", 80, 6-8, 225
"Gar Heard", 78, 6-6, 219
"Bill Hewitt", 79, 6-7, 210
"Fred Hilton", 75, 6-3, 185
"Lou Hudson", 77, 6-5, 210
"John Hummer", 81, 6-9, 230
"Phil Jackson", 80, 6-8, 220
"Charles Johnson", 72, 6-0, 170
"George Johnson", 83, 6-11, 245
"George Johnson", 83, 6-11, 205
"Gus Johnson", 78, 6-6, 230
"John Johnson", 79, 6-7, 200
"Ollie Johnson", 78, 6-6, 200
"Wali Jones", 74, 6-2, 180
"Bob Kauffman", 80, 6-8, 240
"Toby Kimball", 78, 6-6, 220
"Jim King", 74, 6-2, 175
"Don Kojis", 77, 6-5, 215
"Howard Komives", 73, 6-1, 185
"Steve Kuberski", 80, 6-8, 215
"Sam Lacey", 82, 6-10, 235
"Bob Lanier", 83, 6-11, 250
"Stu Lantz", 75, 6-3, 175
"Mo Layton", 73, 6-1, 180
"Manny Leaks", 80, 6-8, 225
"Clyde Lee", 82, 6-10, 205
"Russ Lee", 77, 6-5, 185
"Kevin Loughery", 75, 6-3, 190
"Bob Love", 80, 6-8, 215
"Stan Love", 81, 6-9, 215
"Jerry Lucas", 80, 6-8, 230
"Pete Maravich", 77, 6-5, 197
"Jack Marin", 79, 6-7, 200
"Harvey Marlatt", 75, 6-3, 185
"LaRue Martin", 83, 6-11, 208
"Eddie Mast", 81, 6-9, 220
"Don May", 76, 6-4, 200
"Bob McAdoo", 81, 6-9, 210
"Paul McCracken", 76, 6-4, 180
"Jim McDaniels", 83, 6-11, 228
"Jon McGlocklin", 77, 6-5, 205
"Kenny McIntosh", 79, 6-7, 225
"Stan McKenzie", 77, 6-5, 195
"Jim McMillian", 77, 6-5, 215
"Eric McWilliams", 80, 6-8, 200
"Cliff Meely", 80, 6-8, 215
"Dean Meminger", 72, 6-0, 175
"John Mengelt", 74, 6-2, 195
"Mark Minor", 78, 6-6, 215
"Earl Monroe", 75, 6-3, 185
"Otto Moore", 83, 6-11, 205
"Erwin Mueller", 80, 6-8, 230
"Jeff Mullins", 76, 6-4, 190
"Calvin Murphy", 69, 5-9, 165
"Bob Nash", 80, 6-8, 195
"Lloyd Neal", 79, 6-7, 225
"Don Nelson", 78, 6-6, 210
"Mike Newlin", 76, 6-4, 200
"Willie Norwood", 79, 6-7, 220
"Steve Patterson", 81, 6-9, 225
"Tom Patterson", 78, 6-6, 220
"Curtis Perry", 79, 6-7, 220
"Geoff Petrie", 76, 6-4, 190
"Howard Porter", 80, 6-8, 220
"Kevin Porter", 72, 6-0, 170
"Bob Portman", 77, 6-5, 200
"Jim Price", 75, 6-3, 195
"Mike Price", 75, 6-3, 200
"Luther Rackley", 82, 6-10, 220
"Mike Ratliff", 82, 6-10, 230
"Clifford Ray", 81, 6-9, 230
"Willis Reed", 81, 6-9, 235
"Tom Riker", 82, 6-10, 225
"Pat Riley", 76, 6-4, 205
"Ron Riley", 80, 6-8, 195
