"Name", Height (Inches), Height(Feet-Inches), Weight
"Jay Arnette", 74, 6-2, 175
"Al Attles", 72, 6-0, 175
"Dick Barnett", 76, 6-4, 190
"John Barnhill", 73, 6-1, 180
"Elgin Baylor", 77, 6-5, 225
"Zelmo Beaty", 81, 6-9, 225
"Walt Bellamy", 83, 6-11, 225
"Al Bianchi", 75, 6-3, 185
"Bucky Bockhorn", 76, 6-4, 200
"Bob Boozer", 80, 6-8, 215
"Bill Bridges", 78, 6-6, 228
"Dave Budd", 78, 6-6, 205
"Donnie Butcher", 74, 6-2, 200
"Al Butler", 74, 6-2, 175
"Barney Cable", 79, 6-7, 175
"Wilt Chamberlain", 85, 7-1, 275
"Len Chappell", 80, 6-8, 240
"Larry Comley", 77, 6-5, 210
"Gene Conley", 80, 6-8, 225
"Larry Costello", 73, 6-1, 186
"Dave DeBusschere", 78, 6-6, 220
"Connie Dierking", 81, 6-9, 222
"Terry Dischinger", 79, 6-7, 189
"Bob Duffy", 75, 6-3, 185
"Johnny Egan", 71, 5-11, 180
"Leroy Ellis", 82, 6-10, 210
"Wayne Embry", 80, 6-8, 240
"Mike Farmer", 79, 6-7, 210
"Bob Ferry", 80, 6-8, 230
"Dave Gambee", 78, 6-6, 215
"Mel Gibson", 75, 6-3, 180
"Tom Gola", 78, 6-6, 205
"Johnny Green", 77, 6-5, 200
"Si Green", 74, 6-2, 185
"Jerry Greenspan", 77, 6-5, 195
"Hal Greer", 74, 6-2, 175
"Richie Guerin", 76, 6-4, 195
"Cliff Hagan", 76, 6-4, 210
"Reggie Harding", 84, 7-0, 249
"Charlie Hardnett", 80, 6-8, 225
"Jerry Harkness", 74, 6-2, 175
"John Havlicek", 77, 6-5, 203
"Tom Hawkins", 77, 6-5, 210
"Tom Heinsohn", 79, 6-7, 218
"Art Heyman", 77, 6-5, 205
"Wayne Hightower", 80, 6-8, 192
"Gary Hill", 76, 6-4, 185
"Paul Hogue", 81, 6-9, 240
"Tom Hoover", 81, 6-9, 230
"Bailey Howell", 79, 6-7, 210
"Darrall Imhoff", 82, 6-10, 220
"Gus Johnson", 78, 6-6, 230
"K.C. Jones", 73, 6-1, 200
"Sam Jones", 76, 6-4, 198
"Willie Jones", 75, 6-3, 185
"Red Kerr", 81, 6-9, 230
"Jim King", 74, 6-2, 175
"Don Kojis", 77, 6-5, 215
"Jim Krebs", 80, 6-8, 230
"Rudy LaRusso", 79, 6-7, 220
"George Lee", 76, 6-4, 200
"Jim Loscutoff", 77, 6-5, 220
"Kevin Loughery", 75, 6-3, 190
"Clyde Lovellette", 81, 6-9, 234
"Jerry Lucas", 80, 6-8, 230
"Johnny McCarthy", 73, 6-1, 185
"Bill McGill", 81, 6-9, 225
"Tom Meschery", 78, 6-6, 215
"Eddie Miles", 76, 6-4, 195
"Jackie Moreland", 79, 6-7, 215
"Willie Naulls", 78, 6-6, 225
"Don Nelson", 78, 6-6, 210
"Paul Neumann", 73, 6-1, 175
"Bevo Nordmann", 82, 6-10, 225
"Don Ohl", 75, 6-3, 190
"Bud Olsen", 80, 6-8, 220
"Mel Peterson", 76, 6-4, 185
"Bob Pettit", 81, 6-9, 205
"Gary Phillips", 75, 6-3, 189
"Frank Ramsey", 75, 6-3, 190
"Hub Reed", 81, 6-9, 215
"Oscar Robertson", 77, 6-5, 205
"Guy Rodgers", 72, 6-0, 185
"Ken Rohloff", 72, 6-0, 195
"John Rudometkin", 78, 6-6, 205
"Bill Russell", 82, 6-10, 215
"Tom Sanders", 78, 6-6, 210
"Dolph Schayes", 79, 6-7, 195
"Ray Scott", 81, 6-9, 215
"Kenny Sears", 81, 6-9, 198
"Frank Selvy", 75, 6-3, 180
"Lee Shaffer", 79, 6-7, 220
"Gene Shue", 74, 6-2, 170
"Larry Siegfried", 75, 6-3, 190
"Adrian Smith", 73, 6-1, 180
"Larry Staverman", 79, 6-7, 205
"Roger Strickland", 77, 6-5, 200
"Tom Thacker", 74, 6-2, 170
"Rod Thorn", 76, 6-4, 195
"Nate Thurmond", 83, 6-11, 225
"Gene Tormohlen", 80, 6-8, 230
"Jack Twyman", 78, 6-6, 210
"Chico Vaughn", 74, 6-2, 190
"Chet Walker", 78, 6-6, 212
"Gerry Ward", 76, 6-4, 195
"Ben Warley", 77, 6-5, 200
"Jerry West", 74, 6-2, 175
"Hubie White", 76, 6-4, 205
"Gene Wiley", 82, 6-10, 210
"Lenny Wilkens", 73, 6-1, 180
"John Windsor", 80, 6-8, 215
