Name, Height (Inches), Height(Feet-Inches), Weight
A.C. Green,81, 6-9,220
A.J. Bramlett,82, 6-10,227
A.J. English,75, 6-3,175
A.J. Guyton,73, 6-1,180
A.J. Price,74, 6-2,181
A.J. Wynder,74, 6-2,180
A.W. Holt,79, 6-7,210
Aaron Brooks,72, 6-0,161
Aaron Gray,84, 7-0,270
Aaron James,80, 6-8,210
Aaron McKie,77, 6-5,209
Aaron Miles,73, 6-1,175
Aaron Swinson,77, 6-5,230
Aaron Williams,81, 6-9,220
Abdul Jeelani,80, 6-8,210
Acie Earl,82, 6-10,240
Acie Law,75, 6-3,195
Adam Harrington,77, 6-5,200
Adam Keefe,81, 6-9,230
Adam Morrison,80, 6-8,205
Adonal Foyle,82, 6-10,250
Adonis Jordan,71, 5-11,170
Adonis Thomas,79, 6-7,200
Adrian Branch,79, 6-7,185
Adrian Caldwell,80, 6-8,265
Adrian Dantley,77, 6-5,208
Adrian Griffin,77, 6-5,217
Adrian Smith,73, 6-1,180
Al Attles,72, 6-0,175
Al Bianchi,75, 6-3,185
Al Butler,74, 6-2,175
Al Carlson,83, 6-11,235
Al Eberhard,78, 6-6,225
Al Ferrari,76, 6-4,190
Al Fleming,79, 6-7,215
Al Hairston,73, 6-1,170
Al Harrington,81, 6-9,230
Al Henry,81, 6-9,190
Al Horford,82, 6-10,245
Al Jackson,73, 6-1,185
Al Jefferson,82, 6-10,265
Al Roges,76, 6-4,195
Al Skinner,75, 6-3,190
Al Thornton,80, 6-8,220
Al Tucker,80, 6-8,190
Al Wood,78, 6-6,193
Al-Farouq Aminu,81, 6-9,215
Alaa Abdelnaby,82, 6-10,240
Alan Anderson,78, 6-6,220
Alan Hardy,79, 6-7,195
Alan Henderson,81, 6-9,235
Alan Ogg,86, 7-2,240
Alando Tucker,78, 6-6,205
Albert King,78, 6-6,190
Alec Burks,78, 6-6,195
Alec Kessler,83, 6-11,230
Aleksandar Djordjevic,74, 6-2,198
Aleksandar Radojevic,87, 7-3,250
Alex Acker,77, 6-5,185
Alex Blackwell,78, 6-6,250
Alex Bradley,78, 6-6,215
Alex English,79, 6-7,190
Alex Garcia,75, 6-3,220
Alex Hannum,79, 6-7,210
Alex Len,85, 7-1,255
Alex Scales,76, 6-4,185
Alex Stivrins,80, 6-8,220
Alexander Johnson,81, 6-9,240
Alexander Volkov,82, 6-10,218
Alexey Shved,78, 6-6,190
Alexis Ajinca,84, 7-0,220
Alfred McGuire,74, 6-2,180
Alfredrick Hughes,77, 6-5,215
Allan Bristow,79, 6-7,210
Allan Houston,78, 6-6,200
Allan Ray,74, 6-2,190
Allen Crabbe,78, 6-6,210
Allen Iverson,72, 6-0,165
Allen Leavell,73, 6-1,170
Allen Murphy,77, 6-5,190
Allie McGuire,75, 6-3,175
Alonzo Bradley,78, 6-6,190
Alonzo Gee,78, 6-6,220
Alonzo Mourning,82, 6-10,240
Alphonso Ford,73, 6-1,190
Alton Ford,81, 6-9,275
Alton Lister,84, 7-0,240
Alvan Adams,81, 6-9,210
Alvin Heggs,80, 6-8,225
Alvin Jones,83, 6-11,265
Alvin Robertson,75, 6-3,185
Alvin Scott,79, 6-7,185
Alvin Sims,76, 6-4,235
Alvin Williams,77, 6-5,185
Amal McCaskill,83, 6-11,235
Amar'e Stoudemire,82, 6-10,245
Amir Johnson,81, 6-9,210
Anderson Varejao,82, 6-10,230
Andrae Patterson,81, 6-9,238
Andray Blatche,83, 6-11,235
Andre Barrett,70, 5-10,172
Andre Brown,81, 6-9,245
Andre Drummond,82, 6-10,270
Andre Emmett,77, 6-5,230
Andre Iguodala,78, 6-6,207
Andre McCarter,75, 6-3,190
Andre Miller,74, 6-2,200
Andre Moore,81, 6-9,215
Andre Owens,76, 6-4,200
Andre Roberson,79, 6-7,210
Andre Spencer,78, 6-6,210
Andre Turner,71, 5-11,160
Andre Wakefield,75, 6-3,175
Andrea Bargnani,84, 7-0,225
Andreas Glyniadakis,85, 7-1,280
Andrei Kirilenko,81, 6-9,220
Andres Guibert,82, 6-10,225
Andres Nocioni,79, 6-7,225
Andrew Bogut,84, 7-0,245
Andrew Bynum,84, 7-0,285
Andrew DeClercq,82, 6-10,230
Andrew Gaze,79, 6-7,205
Andrew Goudelock,75, 6-3,200
Andrew Lang,83, 6-11,245
Andrew Nicholson,81, 6-9,250
Andrew Toney,75, 6-3,178
Andris Biedrins,83, 6-11,240
Andy Johnson,77, 6-5,215
Andy Panko,81, 6-9,222
Andy Phillip,74, 6-2,195
Andy Rautins,76, 6-4,190
Andy Toolson,78, 6-6,210
Andy Walker,76, 6-4,190
Anfernee Hardaway,79, 6-7,195
Ansu Sesay,81, 6-9,225
Antawn Jamison,80, 6-8,223
Anthony Avent,81, 6-9,235
Anthony Bennett,80, 6-8,240
Anthony Bonner,80, 6-8,215
Anthony Bowie,78, 6-6,190
Anthony Carter,73, 6-1,190
Anthony Cook,81, 6-9,205
Anthony Davis,82, 6-10,220
Anthony Frederick,79, 6-7,205
Anthony Goldwire,73, 6-1,182
Anthony Grundy,75, 6-3,180
Anthony Johnson,75, 6-3,190
Anthony Jones,78, 6-6,195
Anthony Mason,79, 6-7,250
Anthony Miller,81, 6-9,225
Anthony Morrow,77, 6-5,210
Anthony Parker,78, 6-6,215
Anthony Peeler,76, 6-4,208
Anthony Pullard,82, 6-10,245
Anthony Randolph,82, 6-10,205
Anthony Roberson,74, 6-2,180
Anthony Roberts,77, 6-5,185
Anthony Taylor,76, 6-4,175
Anthony Tolliver,80, 6-8,240
Anthony Tucker,80, 6-8,220
Antoine Carr,81, 6-9,225
Antoine Rigaudeau,79, 6-7,210
Antoine Walker,80, 6-8,224
Antoine Wright,79, 6-7,210
Antonio Anderson,78, 6-6,215
Antonio Burks,73, 6-1,200
Antonio Daniels,76, 6-4,195
Antonio Davis,81, 6-9,215
Antonio Harvey,83, 6-11,225
Antonio Lang,80, 6-8,205
Antonio McDyess,81, 6-9,220
Antonis Fotsis,82, 6-10,219
Archie Clark,74, 6-2,175
Archie Dees,80, 6-8,205
Archie Goodwin,77, 6-5,198
Arinze Onuaku,81, 6-9,275
Armen Gilliam,81, 6-9,230
Armon Johnson,75, 6-3,195
Armond Hill,76, 6-4,190
Arnett Moultrie,83, 6-11,249
Arnie Risen,81, 6-9,200
Aron Baynes,82, 6-10,260
Arron Afflalo,77, 6-5,215
Art Collins,76, 6-4,185
Art Harris,76, 6-4,185
Art Heyman,77, 6-5,205
Art Long,81, 6-9,250
Art Spoelstra,81, 6-9,220
Art Williams,73, 6-1,180
Artis Gilmore,86, 7-2,240
Arvid Kramer,81, 6-9,220
Arvydas Macijauskas,76, 6-4,214
Arvydas Sabonis,87, 7-3,279
Ashraf Amaya,80, 6-8,230
Askia Jones,77, 6-5,200
Audie Norris,81, 6-9,230
Austin Carr,76, 6-4,200
Austin Croshere,81, 6-9,235
Austin Daye,83, 6-11,200
Austin Rivers,76, 6-4,200
Avery Bradley,74, 6-2,180
Avery Johnson,70, 5-10,175
Awvee Storey,78, 6-6,222
B.J. Armstrong,74, 6-2,175
B.J. Tyler,73, 6-1,185
Bailey Howell,79, 6-7,210
Barney Cable,79, 6-7,175
Baron Davis,75, 6-3,209
Barry Clemens,78, 6-6,210
Barry Kramer,76, 6-4,200
Barry Nelson,82, 6-10,230
Barry Orms,75, 6-3,190
Barry Stevens,77, 6-5,195
Barry Sumpter,83, 6-11,215
Barry Yates,79, 6-7,215
Bart Kofoed,76, 6-4,210
Bayard Forrest,82, 6-10,235
Ben Clyde,79, 6-7,198
Ben Coleman,81, 6-9,235
Ben Davis,81, 6-9,240
Ben Gillery,84, 7-0,235
Ben Gordon,75, 6-3,200
Ben Handlogten,82, 6-10,240
Ben Hansbrough,75, 6-3,203
Ben Kelso,75, 6-3,195
Ben McDonald,80, 6-8,210
Ben McLemore,77, 6-5,195
Ben Poquette,81, 6-9,235
Ben Uzoh,75, 6-3,205
Ben Wallace,81, 6-9,240
Ben Warley,77, 6-5,200
Bennie Swain,80, 6-8,220
Beno Udrih,75, 6-3,205
Benoit Benjamin,84, 7-0,250
Bernard James,82, 6-10,240
Bernard King,79, 6-7,205
Bernard Robinson,78, 6-6,210
Bernard Thompson,78, 6-6,210
Bernard Toone,81, 6-9,210
Bernie Fryer,75, 6-3,185
Bernie Harris,82, 6-10,200
Bernie Williams,75, 6-3,175
Bert Cook,75, 6-3,185
Bevo Nordmann,82, 6-10,225
Bill Bradley,77, 6-5,205
Bill Bridges,78, 6-6,228
Bill Buntin,79, 6-7,250
Bill Calhoun,75, 6-3,180
Bill Cartwright,85, 7-1,245
Bill Chamberlain,78, 6-6,188
Bill Curley,81, 6-9,220
Bill Dinwiddie,79, 6-7,220
Bill Ebben,76, 6-4,190
Bill Edwards,80, 6-8,215
Bill Gabor,71, 5-11,170
Bill Garnett,81, 6-9,225
Bill Hanzlik,79, 6-7,185
Bill Hewitt,79, 6-7,210
Bill Hosket,80, 6-8,225
Bill Jones,79, 6-7,175
Bill Laimbeer,83, 6-11,245
Bill Ligon,76, 6-4,180
Bill Martin,79, 6-7,205
Bill Mayfield,79, 6-7,205
Bill McGill,81, 6-9,225
Bill Melchionni,73, 6-1,165
Bill Robinzine,79, 6-7,230
Bill Russell,82, 6-10,215
Bill Sharman,73, 6-1,175
Bill Smith,77, 6-5,190
Bill Stricker,81, 6-9,210
Bill Thieben,79, 6-7,215
Bill Turner,79, 6-7,220
Bill Walker,78, 6-6,220
Bill Walton,83, 6-11,210
Bill Wennington,84, 7-0,245
Bill Willoughby,80, 6-8,205
Bill Zopf,73, 6-1,170
Billy Cunningham,78, 6-6,210
Billy Donovan,71, 5-11,171
Billy Kenville,74, 6-2,187
Billy Knight,78, 6-6,195
Billy McKinney,72, 6-0,160
Billy Owens,80, 6-8,220
Billy Paultz,83, 6-11,235
Billy Ray Bates,76, 6-4,210
Billy Reid,77, 6-5,190
Billy Thomas,76, 6-4,208
Billy Thompson,79, 6-7,195
Bimbo Coles,73, 6-1,180
Bingo Smith,77, 6-5,195
Bird Averitt,73, 6-1,170
Bismack Biyombo,81, 6-9,229
Bison Dele,81, 6-9,235
Blair Rasmussen,84, 7-0,250
