Year,Height,Weight
1955,76.36190476,196.0190476
1956,76.97826087,199.6195652
1957,77.04040404,200.2525253
1958,77.07070707,200.5151515
1959,77.10869565,201.25
1960,77.03030303,201.5353535
1961,77.38709677,203.3870968
1962,77.20353982,203.2743363
1963,77.47008547,204.3504274
1964,77.45945946,204.7117117
1965,77.51754386,205.8859649
1966,77.45945946,205.7477477
1967,77.6097561,205.5528455
1968,77.58940397,205.192053
1969,77.80952381,206.6488095
1970,77.71345029,204.7426901
1971,77.85714286,205.4930876
1972,77.84722222,205.2731481
1973,77.90697674,204.8046512
1974,77.8963964,203.8018018
1975,78.01276596,203.4170213
1976,78.07563025,203.512605
1977,78.02711864,202.9864407
1978,78.08070175,203.0491228
1979,78.12857143,202.8821429
1980,78.33449477,203.2334495
1981,78.42763158,203.8453947
1982,78.57594937,204.4462025
1983,78.63607595,205.1360759
1984,78.79032258,206.2548387
1985,78.78125,206.578125
1986,79.07692308,208.0707692
1987,79.02686567,208.0835821
1988,79.03915663,208.496988
1989,78.95467422,208.4362606
1990,78.80577428,208.6010499
1991,78.93023256,209.3204134
1992,78.78238342,209.4533679
1993,78.81794872,211.7025641
1994,78.95037221,212.9131514
1995,78.79361179,211.6314496
1996,78.88111888,214.4428904
1997,78.95464853,215.138322
1998,78.80865604,214.6082005
1999,78.91590909,215.9772727
2000,78.93849658,216.6218679
2001,78.90929705,217.0113379
2002,79.05,218.7636364
2003,79.26635514,220.3084112
2004,79.20588235,220.1131222
2005,79.21551724,220.4396552
2006,79.08078603,219.9170306
2007,78.99126638,219.5873362
2008,79.03991131,219.0199557
2009,79.17078652,219.8786517
2010,79.04751131,219.6719457
2011,79.15929204,221.0110619
2012,79.00627615,219.7740586
2013,78.98507463,219.3646055
2014,78.96887967,218.4004149
